sinif,unite,konu,kazanim_kodu,kazanim_aciklamasi,ders
6. Sınıf,Classroom Life,Classroom Life,ENG.6.2.W4.,"Students can individually construct/form content for the assigned writing task on the current content ""classroom life with daily and study routines; learning activities in the classroom; cardinal numbers 100-500; ordinal numbers 1-50"".",İngilizce
6. Sınıf,Classroom Life,Classroom Life,ENG.6.2.W5.,"Students can reorganise (reconstruct) and use information in the new written tasks about the ""classroom life with daily and study routines; learning activities in the classroom; cardinal numbers 100-500; ordinal numbers 1-50"" to communicate with other people.",İngilizce
6. Sınıf,Classroom Life,Classroom Life,ENG.6.2.W6.,"Students can reflect on their knowledge, experiences, thoughts, and feelings related to the writing-expression process about the current content, ""classroom life with daily and study routines; learning activities in the classroom; cardinal numbers 100-500; ordinal numbers 1-50"" in relation to themselves or others, both individually and/or with others.",İngilizce
6. Sınıf,Personal Life,Personal Life,ENG.6.3.1.1.,"Students can get ready for the listening/watching-comprehension process for the current content on ""personal life with body parts, physical appearance and clothes; personality and character"" carefully.",İngilizce
6. Sınıf,Personal Life,Personal Life,ENG.6.3.1.2.,"Students can bring information about the current content on ""personal life with body parts, physical appearance and clothes; personality and character"" together through significant details and main components while listening/watching it.",İngilizce
6. Sınıf,Personal Life,Personal Life,ENG.6.3.1.3.,"Students can make meaning of/derive meaning from the current content on ""personal life with body parts, physical appearance and clothes; personality and character"" through significant details by listening/watching it carefully.",İngilizce
6. Sınıf,Personal Life,Personal Life,ENG.6.3.1.4.,"Students can convey their knowledge, experience, thoughts, and feelings examined carefully about the whole listening/watching-comprehension process in relation to the current content on ""personal life with body parts, physical appearance and clothes; personality and character"".",İngilizce
6. Sınıf,Personal Life,Personal Life,ENG.6.3.G1.,"Students can select and use the target grammatical elements of the current content about ""personal life with body parts, physical appearance and clothes; personality and character"" accurately, authentically, spontaneously, and naturally and use it appropriately and effectively when communicating with others.",İngilizce
6. Sınıf,Personal Life,Personal Life,ENG.6.3.P1.,"Students can select and use the target phonological elements of the current content about ""personal life with body parts, physical appearance and clothes; personality and character"" accurately, authentically, and naturally through spontaneous decision-making processes and use it in an appropriate and effective way when communicating with others.",İngilizce
6. Sınıf,Personal Life,Personal Life,ENG.6.3.R1.,"Students can get ready for the reading-comprehension process about the current content on ""personal life with body parts, physical appearance and clothes; personality and character"".",İngilizce
6. Sınıf,Personal Life,Personal Life,ENG.6.3.R2.,"Students can bring information about the current content on ""personal life with body parts, physical appearance and clothes; personality and character"" through skimming (looking quickly at) the audio-visual elements and reading the content very quickly.",İngilizce
6. Sınıf,Personal Life,Personal Life,ENG.6.3.R3.,"Students can make meaning of / derive meaning from the current content about ""personal life with body parts, physical appearance and clothes; personality and character"" by reading it carefully.",İngilizce
6. Sınıf,Personal Life,Personal Life,ENG.6.3.R4.,"Students can convey their knowledge, experiences, thoughts, and feelings related to the reading-comprehension process about the current content, ""personal life with body parts, physical appearance and clothes; personality and character"" in relation to themselves or others, both individually and/or with others.",İngilizce
6. Sınıf,Personal Life,Personal Life,ENG.6.3.S1.,"Students can get ready for speaking-expression process about the current content on ""personal life with body parts, physical appearance and clothes; personality and character"".",İngilizce
6. Sınıf,Personal Life,Personal Life,ENG.6.3.S2.,"Students can use the model/example for producing verbal content about the current content on ""personal life with body parts, physical appearance and clothes; personality and character"".",İngilizce
6. Sınıf,Personal Life,Personal Life,ENG.6.3.S3.,"Students can organise a new verbal content on ""personal life with body parts, physical appearance and clothes; personality and character"" by speaking accurately, efficiently, and authentically.",İngilizce
6. Sınıf,Personal Life,Personal Life,ENG.6.3.S4.,"Students can construct a new verbal content on ""personal life with body parts, physical appearance and clothes; personality and character"" by speaking accurately, efficiently, and authentically.",İngilizce
6. Sınıf,Personal Life,Personal Life,ENG.6.3.S5.,"Students can reorganise (reconstruct) and use information about the ""personal life with body parts, physical appearance and clothes; personality and character"" to communicate with other people.",İngilizce
6. Sınıf,Personal Life,Personal Life,ENG.6.3.S6.,"Students can convey their knowledge, experiences, thoughts, and feelings related to the speaking-expression process about the current content, ""personal life with body parts, physical appearance and clothes; personality and character"" to communicate with other people in relation to themselves or others, both individually and/or with others.",İngilizce
6. Sınıf,Personal Life,Personal Life,ENG.6.3.V1.,"Students can select and use the target vocabulary of the current content about ""personal life with body parts, physical appearance and clothes; personality and character"" accurately, authentically, spontaneously, and naturally and use it appropriately and effectively when communicating with others.",İngilizce
6. Sınıf,Personal Life,Personal Life,ENG.6.3.W1.,"Students can get ready for the writing-expression process about the current content on ""personal life with body parts, physical appearance and clothes; personality and character"".",İngilizce
6. Sınıf,Personal Life,Personal Life,ENG.6.3.W2.,"Students can understand the model/example for the writing task about the current content on ""personal life with body parts, physical appearance and clothes; personality and character"".",İngilizce
6. Sınıf,Personal Life,Personal Life,ENG.6.3.W3.,"Students can organise a content for the assigned writing task on the current content ""personal life with body parts, physical appearance and clothes; personality and character"" based on the model/example provided.",İngilizce
6. Sınıf,Personal Life,Personal Life,ENG.6.3.W4.,"Students can individually construct/form content for the assigned writing task on the current content ""personal life with body parts, physical appearance and clothes; personality and character"".",İngilizce
6. Sınıf,Personal Life,Personal Life,ENG.6.3.W5.,"Students can reorganise (reconstruct) and use information in the new written tasks about the ""personal life with body parts, physical appearance and clothes; personality and character"" to communicate with other people.",İngilizce
6. Sınıf,Personal Life,Personal Life,ENG.6.3.W6.,"Students can reflect on their knowledge, experiences, thoughts, and feelings related to the writing-expression process about the current content, ""personal life with body parts, physical appearance and clothes; personality and character"" in relation to themselves or others, both individually and/or with others.",İngilizce
6. Sınıf,Family Life,Family Life,ENG.6.4.1.1.,"Students can get ready for the listening/watching-comprehension process for the current content on ""family life with family members' jobs, working places, and job routines; different types of family homes and houses"" carefully.",İngilizce
6. Sınıf,Family Life,Family Life,ENG.6.4.1.2.,"Students can bring information about the current content on ""family life with family members' jobs, working places, and job routines; different types of family homes and houses"" together through significant details and main components while listening/watching it.",İngilizce
6. Sınıf,Family Life,Family Life,ENG.6.4.1.3.,"Students can make meaning of/derive meaning from the current content on ""family life with family members' jobs, working places, and job routines; different types of family homes and houses"" through significant details by listening/watching it carefully.",İngilizce
6. Sınıf,Family Life,Family Life,ENG.6.4.1.4.,"Students can convey their knowledge, experience, thoughts, and feelings examined carefully about the whole listening/watching-comprehension process in relation to the current content on ""family life with family members' jobs, working places, and job routines; different types of family homes and houses"".",İngilizce
6. Sınıf,Family Life,Family Life,ENG.6.4.G1.,"Students can select and use the target grammatical elements of the current content about ""family life with family members' jobs, working places, and job routines; different types of family homes and houses"" accurately, authentically, spontaneously, and naturally and use it appropriately and effectively when communicating with others.",İngilizce
6. Sınıf,Family Life,Family Life,ENG.6.4.P1.,"Students can select and use the target phonological elements of the current content about ""family life with family members' jobs, working places, and job routines; different types of family homes and houses"" accurately, authentically, and naturally through spontaneous decision-making processes and use it in an appropriate and effective way when communicating with others.",İngilizce
6. Sınıf,Family Life,Family Life,ENG.6.4.R1.,"Students can get ready for the reading-comprehension process about the current content on ""family life with family members' jobs, working places, and job routines; different types of family homes and houses"".",İngilizce
6. Sınıf,Family Life,Family Life,ENG.6.4.R2.,"Students can bring information about the current content on ""family life with family members' jobs, working places, and job routines; different types of family homes and houses"" through skimming (looking quickly at) the audio-visual elements and reading the content very quickly.",İngilizce
6. Sınıf,Family Life,Family Life,ENG.6.4.R3.,"Students can make meaning of / derive meaning from the current content about ""family life with family members' jobs, working places, and job routines; different types of family homes and houses"" by reading it carefully.",İngilizce
6. Sınıf,Family Life,Family Life,ENG.6.4.R4.,"Students can convey their knowledge, experiences, thoughts, and feelings related to the reading-comprehension process about the current content, ""family life with family members' jobs, working places, and job routines; different types of family homes and houses"" in relation to themselves or others, both individually and/or with others.",İngilizce
6. Sınıf,Family Life,Family Life,ENG.6.4.S1.,"Students can get ready for speaking-expression process about the current content on ""family life with family members' jobs, working places, and job routines; different types of family homes and houses"".",İngilizce
6. Sınıf,Family Life,Family Life,ENG.6.4.S2.,"Students can use the model/example for producing verbal content about the current content on ""family life with family members' jobs, working places, and job routines; different types of family homes and houses"".",İngilizce
6. Sınıf,Family Life,Family Life,ENG.6.4.S3.,"Students can organise a new verbal content on ""family life with family members' jobs, working places, and job routines; different types of family homes and houses"" by speaking accurately, efficiently, and authentically.",İngilizce
6. Sınıf,Family Life,Family Life,ENG.6.4.S4.,"Students can construct a new verbal content on ""family life with family members' jobs, working places, and job routines; different types of family homes and houses"" by speaking accurately, efficiently, and authentically.",İngilizce
6. Sınıf,Family Life,Family Life,ENG.6.4.S5.,"Students can reorganise (reconstruct) and use information about the ""family life with family members' jobs, working places, and job routines; different types of family homes and houses"" to communicate with other people.",İngilizce
6. Sınıf,Family Life,Family Life,ENG.6.4.S6.,"Students can convey their knowledge, experiences, thoughts, and feelings related to the speaking-expression process about the current content, ""family life with family members' jobs, working places, and job routines; different types of family homes and houses"" to communicate with other people in relation to themselves or others, both individually and/or with others.",İngilizce
6. Sınıf,Family Life,Family Life,ENG.6.4.V1.,"Students can select and use the target vocabulary of the current content about ""family life with family members' jobs, working places, and job routines; different types of family homes and houses"" accurately, authentically, spontaneously, and naturally and use it appropriately and effectively when communicating with others.",İngilizce
6. Sınıf,Family Life,Family Life,ENG.6.4.W1.,"Students can get ready for the writing-expression process about the current content on ""family life with family members' jobs, working places, and job routines; different types of family homes and houses"".",İngilizce
6. Sınıf,Family Life,Family Life,ENG.6.4.W2.,"Students can understand the model/example for the writing task about the current content on ""family life with family members' jobs, working places, and job routines; different types of family homes and houses"".",İngilizce
6. Sınıf,Family Life,Family Life,ENG.6.4.W3.,"Students can organise a content for the assigned writing task on the current content ""family life with family members' jobs, working places, and job routines; different types of family homes and houses"" based on the model/example provided.",İngilizce
6. Sınıf,Family Life,Family Life,ENG.6.4.W4.,"Students can individually construct/form content for the assigned writing task on the current content ""family life with family members' jobs, working places, and job routines; different types of family homes and houses"".",İngilizce
6. Sınıf,Family Life,Family Life,ENG.6.4.W5.,"Students can reorganise (reconstruct) and use information in the new written tasks about the ""family life with family members' jobs, working places, and job routines; different types of family homes and houses"" to communicate with other people.",İngilizce
6. Sınıf,Family Life,Family Life,ENG.6.4.W6.,"Students can reflect on their knowledge, experiences, thoughts, and feelings related to the writing-expression process about the current content, ""family life with family members' jobs, working places, and job routines; different types of family homes and houses"" in relation to themselves or others, both individually and/or with others.",İngilizce
6. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.6.5.1.1.,"Students can get ready for the listening/watching-comprehension process for the current content on ""life in the neighbourhood and the city with festivals and events (sports, music, arts) in the neighbourhood and city; transportation in the neighbourhood and the city"" carefully.",İngilizce
6. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.6.5.1.2.,"Students can bring information about the current content on ""life in the neighbourhood and the city with festivals and events (sports, music, arts) in the neighbourhood and city; transportation in the neighbourhood and the city"" together through significant details and main components while listening/watching it.",İngilizce
6. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.6.5.1.3.,"Students can make meaning of/derive meaning from the current content on ""life in the neighbourhood and the city with festivals and events (sports, music, arts) in the neighbourhood and city; transportation in the neighbourhood and the city"" through significant details by listening/watching it carefully.",İngilizce
6. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.6.5.1.4.,"Students can convey their knowledge, experience, thoughts, and feelings examined carefully about the whole listening/watching-comprehension process in relation to the current content on ""life in the neighbourhood and the city with festivals and events (sports, music, arts) in the neighbourhood and city; transportation in the neighbourhood and the city"".",İngilizce
6. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.6.5.G1.,"Students can select and use the target grammatical elements of the current content about ""life in the neighbourhood and the city with festivals and events (sports, music, arts) in the neighbourhood and city; transportation in the neighbourhood and the city"" accurately, authentically, spontaneously, and naturally and use it appropriately and effectively when communicating with others.",İngilizce
6. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.6.5.P1.,"Students can select and use the target phonological elements of the current content about ""life in the neighbourhood and the city with festivals and events (sports, music, arts) in the neighbourhood and city; transportation in the neighbourhood and the city"" accurately, authentically, and naturally through spontaneous decision-making processes and use it in an appropriate and effective way when communicating with others.",İngilizce
6. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.6.5.R1.,"Students can get ready for the reading-comprehension process about the current content on ""life in the neighbourhood and the city with festivals and events (sports, music, arts) in the neighbourhood and city; transportation in the neighbourhood and the city"".",İngilizce
6. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.6.5.R2.,"Students can bring information about the current content on ""life in the neighbourhood and the city with festivals and events (sports, music, arts) in the neighbourhood and city; transportation in the neighbourhood and the city"" through skimming (looking quickly at) the audio-visual elements and reading the content very quickly.",İngilizce
6. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.6.5.R3.,"Students can make meaning of / derive meaning from the current content about ""life in the neighbourhood and the city with festivals and events (sports, music, arts) in the neighbourhood and city; transportation in the neighbourhood and the city"" by reading it carefully.",İngilizce
6. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.6.5.R4.,"Students can convey their knowledge, experiences, thoughts, and feelings related to the reading-comprehension process about the current content, ""life in the neighbourhood and the city with festivals and events (sports, music, arts) in the neighbourhood and city; transportation in the neighbourhood and the city"" in relation to themselves or others, both individually and/or with others.",İngilizce
6. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.6.5.S1.,"Students can get ready for speaking-expression process about the current content on ""life in the neighbourhood and the city with festivals and events (sports, music, arts) in the neighbourhood and city; transportation in the neighbourhood and the city"".",İngilizce
6. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.6.5.S2.,"Students can use the model/example for producing verbal content about the current content on ""life in the neighbourhood and the city with festivals and events (sports, music, arts) in the neighbourhood and city; transportation in the neighbourhood and the city"".",İngilizce
6. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.6.5.S3.,"Students can organise a new verbal content on ""life in the neighbourhood and the city with festivals and events (sports, music, arts) in the neighbourhood and city; transportation in the neighbourhood and the city"" by speaking accurately, efficiently, and authentically.",İngilizce
6. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.6.5.S4.,"Students can construct a new verbal content on ""life in the neighbourhood and the city with festivals and events (sports, music, arts) in the neighbourhood and city; transportation in the neighbourhood and the city"" by speaking accurately, efficiently, and authentically.",İngilizce
6. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.6.5.S5.,"Students can reorganise (reconstruct) and use information about the ""life in the neighbourhood and the city with festivals and events (sports, music, arts) in the neighbourhood and city; transportation in the neighbourhood and the city"" to communicate with other people.",İngilizce
6. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.6.5.S6.,"Students can convey their knowledge, experiences, thoughts, and feelings related to the speaking-expression process about the current content, ""life in the neighbourhood and the city with festivals and events (sports, music, arts) in the neighbourhood and city; transportation in the neighbourhood and the city"" to communicate with other people in relation to themselves or others, both individually and/or with others.",İngilizce
6. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.6.5.V1.,"Students can select and use the target vocabulary of the current content about ""life in the neighbourhood and the city with festivals and events (sports, music, arts) in the neighbourhood and city; transportation in the neighbourhood and the city"" accurately, authentically, spontaneously, and naturally and use it appropriately and effectively when communicating with others.",İngilizce
6. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.6.5.W1.,"Students can get ready for the writing-expression process about the current content on ""life in the neighbourhood and the city with festivals and events (sports, music, arts) in the neighbourhood and city; transportation in the neighbourhood and the city"".",İngilizce
6. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.6.5.W2.,"Students can understand the model/example for the writing task about the current content on ""life in the neighbourhood and the city with festivals and events (sports, music, arts) in the neighbourhood and city; transportation in the neighbourhood and the city"".",İngilizce
6. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.6.5.W3.,"Students can organise a content for the assigned writing task on the current content ""life in the neighbourhood and the city with festivals and events (sports, music, arts) in the neighbourhood and city; transportation in the neighbourhood and the city"" based on the model/example provided.",İngilizce
6. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.6.5.W4.,"Students can individually construct/form content for the assigned writing task on the current content ""life in the neighbourhood and the city with festivals and events (sports, music, arts) in the neighbourhood and city; transportation in the neighbourhood and the city"".",İngilizce
6. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.6.5.W5.,"Students can reorganise (reconstruct) and use information in the new written tasks about the ""life in the neighbourhood and the city with festivals and events (sports, music, arts) in the neighbourhood and city; transportation in the neighbourhood and the city"" to communicate with other people.",İngilizce
6. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.6.5.W6.,"Students can reflect on their knowledge, experiences, thoughts, and feelings related to the writing-expression process about the current content, ""life in the neighbourhood and the city with festivals and events (sports, music, arts) in the neighbourhood and city; transportation in the neighbourhood and the city"" in relation to themselves or others, both individually and/or with others.",İngilizce
6. Sınıf,Life in the World & Culture,Life in the World & Culture,ENG.6.6.1.1.,"Students can get ready for the listening/watching-comprehension process for the current content on ""life in the world and culture with countries, nationalities, and languages in the world; food types and events from different parts of the world"" carefully.",İngilizce
6. Sınıf,Life in the World & Culture,Life in the World & Culture,ENG.6.6.1.2.,"Students can bring information about the current content on ""life in the world and culture with countries, nationalities, and languages in the world; food types and events from different parts of the world"" together through significant details and main components while listening/watching it.",İngilizce
6. Sınıf,Life in the World & Culture,Life in the World & Culture,ENG.6.6.1.3.,"Students can make meaning of/derive meaning from the current content on ""life in the world and culture with countries, nationalities, and languages in the world; food types and events from different parts of the world"" through significant details by listening/watching it carefully.",İngilizce
6. Sınıf,Life in the World & Culture,Life in the World & Culture,ENG.6.6.1.4.,"Students can convey their knowledge, experience, thoughts, and feelings examined carefully about the whole listening/watching-comprehension process in relation to the current content on ""life in the world and culture with countries, nationalities, and languages in the world; food types and events from different parts of the world"".",İngilizce
6. Sınıf,Life in the World & Culture,Life in the World & Culture,ENG.6.6.G1.,"Students can select and use the target grammatical elements of the current content about ""life in the world and culture with countries, nationalities, and languages in the world; food types and events from different parts of the world"" accurately, authentically, spontaneously, and naturally and use it appropriately and effectively when communicating with others.",İngilizce
6. Sınıf,Life in the World & Culture,Life in the World & Culture,ENG.6.6.P1.,"Students can select and use the target phonological elements of the current content about ""life in the world and culture with countries, nationalities, and languages in the world; food types and events from different parts of the world"" accurately, authentically, and naturally through spontaneous decision-making processes and use it in an appropriate and effective way when communicating with others.",İngilizce
6. Sınıf,Life in the World & Culture,Life in the World & Culture,ENG.6.6.R1.,"Students can get ready for the reading-comprehension process about the current content on ""life in the world and culture with countries, nationalities, and languages in the world; food types and events from different parts of the world"".",İngilizce
6. Sınıf,Life in the World & Culture,Life in the World & Culture,ENG.6.6.R2.,"Students can bring information about the current content on ""life in the world and culture with countries, nationalities, and languages in the world; food types and events from different parts of the world"" through skimming (looking quickly at) the audio-visual elements and reading the content very quickly.",İngilizce
6. Sınıf,Life in the World & Culture,Life in the World & Culture,ENG.6.6.R3.,"Students can make meaning of / derive meaning from the current content about ""life in the world and culture with countries, nationalities, and languages in the world; food types and events from different parts of the world"" by reading it carefully.",İngilizce
6. Sınıf,Life in the World & Culture,Life in the World & Culture,ENG.6.6.R4.,"Students can convey their knowledge, experiences, thoughts, and feelings related to the reading-comprehension process about the current content, ""life in the world and culture with countries, nationalities, and languages in the world; food types and events from different parts of the world"" in relation to themselves or others, both individually and/or with others.",İngilizce
6. Sınıf,Life in the World & Culture,Life in the World & Culture,ENG.6.6.S1.,"Students can get ready for speaking-expression process about the current content on ""life in the world and culture with countries, nationalities, and languages in the world; food types and events from different parts of the world"".",İngilizce
6. Sınıf,Life in the World & Culture,Life in the World & Culture,ENG.6.6.S2.,"Students can use the model/example for producing verbal content about the current content on ""life in the world and culture with countries, nationalities, and languages in the world; food types and events from different parts of the world"".",İngilizce
6. Sınıf,Life in the World & Culture,Life in the World & Culture,ENG.6.6.S3.,"Students can organise a new verbal content on ""life in the world and culture with countries, nationalities, and languages in the world; food types and events from different parts of the world"" by speaking accurately, efficiently, and authentically.",İngilizce
6. Sınıf,Life in the World & Culture,Life in the World & Culture,ENG.6.6.S4.,"Students can construct a new verbal content on ""life in the world and culture with countries, nationalities, and languages in the world; food types and events from different parts of the world"" by speaking accurately, efficiently, and authentically.",İngilizce
6. Sınıf,Life in the World & Culture,Life in the World & Culture,ENG.6.6.S5.,"Students can reorganise (reconstruct) and use information about the ""life in the world and culture with countries, nationalities, and languages in the world; food types and events from different parts of the world"" to communicate with other people.",İngilizce
6. Sınıf,Life in the World & Culture,Life in the World & Culture,ENG.6.6.S6.,"Students can convey their knowledge, experiences, thoughts, and feelings related to the speaking-expression process about the current content, ""life in the world and culture with countries, nationalities, and languages in the world; food types and events from different parts of the world"" to communicate with other people in relation to themselves or others, both individually and/or with others.",İngilizce
6. Sınıf,Life in the World & Culture,Life in the World & Culture,ENG.6.6.V1.,"Students can select and use the target vocabulary of the current content about ""life in the world and culture with countries, nationalities, and languages in the world; food types and events from different parts of the world"" accurately, authentically, spontaneously, and naturally and use it appropriately and effectively when communicating with others.",İngilizce
6. Sınıf,Life in the World & Culture,Life in the World & Culture,ENG.6.6.W1.,"Students can get ready for the writing-expression process about the current content on ""life in the world and culture with countries, nationalities, and languages in the world; food types and events from different parts of the world"".",İngilizce
6. Sınıf,Life in the World & Culture,Life in the World & Culture,ENG.6.6.W2.,"Students can understand the model/example for the writing task about the current content on ""life in the world and culture with countries, nationalities, and languages in the world; food types and events from different parts of the world"".",İngilizce
6. Sınıf,Life in the World & Culture,Life in the World & Culture,ENG.6.6.W3.,"Students can organise a content for the assigned writing task on the current content ""life in the world and culture with countries, nationalities, and languages in the world; food types and events from different parts of the world"" based on the model/example provided.",İngilizce
6. Sınıf,Life in the World & Culture,Life in the World & Culture,ENG.6.6.W4.,"Students can individually construct/form content for the assigned writing task on the current content ""life in the world and culture with countries, nationalities, and languages in the world; food types and events from different parts of the world"".",İngilizce
6. Sınıf,Life in the World & Culture,Life in the World & Culture,ENG.6.6.W5.,"Students can reorganise (reconstruct) and use information in the new written tasks about the ""life in the world and culture with countries, nationalities, and languages in the world; food types and events from different parts of the world"" to communicate with other people.",İngilizce
6. Sınıf,Life in the World & Culture,Life in the World & Culture,ENG.6.6.W6.,"Students can reflect on their knowledge, experiences, thoughts, and feelings related to the writing-expression process about the current content, ""life in the world and culture with countries, nationalities, and languages in the world; food types and events from different parts of the world"" in relation to themselves or others, both individually and/or with others.",İngilizce
6. Sınıf,Life in Nature & Global Problems,Life in Nature & Global Problems,ENG.6.7.1.1.,"Students can get ready for the listening/watching-comprehension process for the current content on ""life in nature and global problems with activities in nature; environmental problems in the world and solutions"" carefully.",İngilizce
6. Sınıf,Life in Nature & Global Problems,Life in Nature & Global Problems,ENG.6.7.1.2.,"Students can bring information about the current content on ""life in nature and global problems with activities in nature; environmental problems in the world and solutions"" together through significant details and main components while listening/watching it.",İngilizce
6. Sınıf,Life in Nature & Global Problems,Life in Nature & Global Problems,ENG.6.7.1.3.,"Students can make meaning of/derive meaning from the current content on ""life in nature and global problems with activities in nature; environmental problems in the world and solutions"" through significant details by listening/watching it carefully.",İngilizce
6. Sınıf,Life in Nature & Global Problems,Life in Nature & Global Problems,ENG.6.7.1.4.,"Students can convey their knowledge, experience, thoughts, and feelings examined carefully about the whole listening/watching-comprehension process in relation to the current content on ""life in nature and global problems with activities in nature; environmental problems in the world and solutions"".",İngilizce
6. Sınıf,Life in Nature & Global Problems,Life in Nature & Global Problems,ENG.6.7.G1.,"Students can select and use the target grammatical elements of the current content about ""life in nature and global problems with activities in nature; environmental problems in the world and solutions"" accurately, authentically, spontaneously, and naturally and use it appropriately and effectively when communicating with others.",İngilizce
6. Sınıf,Life in Nature & Global Problems,Life in Nature & Global Problems,ENG.6.7.P1.,"Students can select and use the target phonological elements of the current content about ""life in nature and global problems with activities in nature; environmental problems in the world and solutions"" accurately, authentically, and naturally through spontaneous decision-making processes and use it in an appropriate and effective way when communicating with others.",İngilizce
6. Sınıf,Life in Nature & Global Problems,Life in Nature & Global Problems,ENG.6.7.R1.,"Students can get ready for the reading-comprehension process about the current content on ""life in nature and global problems with activities in nature; environmental problems in the world and solutions"".",İngilizce
6. Sınıf,Life in Nature & Global Problems,Life in Nature & Global Problems,ENG.6.7.R2.,"Students can bring information about the current content on ""life in nature and global problems with activities in nature; environmental problems in the world and solutions"" through skimming (looking quickly at) the audio-visual elements and reading the content very quickly.",İngilizce
6. Sınıf,Life in Nature & Global Problems,Life in Nature & Global Problems,ENG.6.7.R3.,"Students can make meaning of / derive meaning from the current content about ""life in nature and global problems with activities in nature; environmental problems in the world and solutions"" by reading it carefully.",İngilizce
6. Sınıf,Life in Nature & Global Problems,Life in Nature & Global Problems,ENG.6.7.R4.,"Students can convey their knowledge, experiences, thoughts, and feelings related to the reading-comprehension process about the current content, ""life in nature and global problems with activities in nature; environmental problems in the world and solutions"" in relation to themselves or others, both individually and/or with others.",İngilizce
6. Sınıf,Life in Nature & Global Problems,Life in Nature & Global Problems,ENG.6.7.S1.,"Students can get ready for speaking-expression process about the current content on ""life in nature and global problems with activities in nature; environmental problems in the world and solutions"".",İngilizce
6. Sınıf,Life in Nature & Global Problems,Life in Nature & Global Problems,ENG.6.7.S2.,"Students can use the model/example for producing verbal content about the current content on ""life in nature and global problems with activities in nature; environmental problems in the world and solutions"".",İngilizce
6. Sınıf,Life in Nature & Global Problems,Life in Nature & Global Problems,ENG.6.7.S3.,"Students can organise a new verbal content on ""life in nature and global problems with activities in nature; environmental problems in the world and solutions"" by speaking accurately, efficiently, and authentically.",İngilizce
6. Sınıf,Life in Nature & Global Problems,Life in Nature & Global Problems,ENG.6.7.S4.,"Students can construct a new verbal content on ""life in nature and global problems with activities in nature; environmental problems in the world and solutions"" by speaking accurately, efficiently, and authentically.",İngilizce
6. Sınıf,Life in Nature & Global Problems,Life in Nature & Global Problems,ENG.6.7.S5.,"Students can reorganise (reconstruct) and use information about the ""life in nature and global problems with activities in nature; environmental problems in the world and solutions"" to communicate with other people.",İngilizce
6. Sınıf,Life in Nature & Global Problems,Life in Nature & Global Problems,ENG.6.7.S6.,"Students can convey their knowledge, experiences, thoughts, and feelings related to the speaking-expression process about the current content, ""life in nature and global problems with activities in nature; environmental problems in the world and solutions"" to communicate with other people in relation to themselves or others, both individually and/or with others.",İngilizce
6. Sınıf,Life in Nature & Global Problems,Life in Nature & Global Problems,ENG.6.7.V1.,"Students can select and use the target vocabulary of the current content about ""life in nature and global problems with activities in nature; environmental problems in the world and solutions"" accurately, authentically, spontaneously, and naturally and use it appropriately and effectively when communicating with others.",İngilizce
6. Sınıf,Life in Nature & Global Problems,Life in Nature & Global Problems,ENG.6.7.W1.,"Students can get ready for the writing-expression process about the current content on ""life in nature and global problems with activities in nature; environmental problems in the world and solutions"".",İngilizce
6. Sınıf,Life in Nature & Global Problems,Life in Nature & Global Problems,ENG.6.7.W2.,"Students can understand the model/example for the writing task about the current content on ""life in nature and global problems with activities in nature; environmental problems in the world and solutions"".",İngilizce
6. Sınıf,Life in Nature & Global Problems,Life in Nature & Global Problems,ENG.6.7.W3.,"Students can organise a content for the assigned writing task on the current content ""life in nature and global problems with activities in nature; environmental problems in the world and solutions"" based on the model/example provided.",İngilizce
6. Sınıf,Life in Nature & Global Problems,Life in Nature & Global Problems,ENG.6.7.W4.,"Students can individually construct/form content for the assigned writing task on the current content ""life in nature and global problems with activities in nature; environmental problems in the world and solutions"".",İngilizce
